State,Age1,Year1,Count of Trauma Survivor,Number of People At Possible Risk for Psychotic-Like Episodes,Number of People At Possible Risk for Psychotic-Like Episodes All Years,Number of People Identifying as Trauma Survivors,Number of People Identifying as Trauma Survivors All Years,Number of People Reporting Frequent Suicidal Ideation,Number of People Reporting Frequent Suicidal Ideation All Years,Number of People Scoring Positive for PTSD,Number of People Scoring Positive for PTSD All Years,Number of People Scoring with Severe Depression,Number of People Scoring with Severe Depression All Years,Positive PTSD,Positive Severe Depression,Positive Suicide,Possible Risk for Psychosis,Total Population
Alabama,Youth (Under 18),2020,691,39.830626276,9.957656569,61.572623618,15.393155904,98.017201128,24.504300282,14.969899809,3.742474952,76.898949612,19.224737403,168,863,1100,447,1122252
Alaska,Youth (Under 18),2020,191,57.985236067,14.496309017,106.492116238,26.623029060,173.398157854,43.349539463,25.089765606,6.272441401,133.812083231,33.453020808,45,240,311,104,179356
Arizona,Youth (Under 18),2020,999,40.210955720,10.052738930,61.896370977,15.474092744,106.506368077,26.626592019,16.356998937,4.089249734,88.538452578,22.134613145,264,1429,1719,649,1613988
Arkansas,Youth (Under 18),2020,480,35.257872955,8.814468239,68.241044429,17.060261107,87.007331647,21.751832912,15.922910367,3.980727592,70.373577068,17.593394267,112,495,612,248,703389
California,Youth (Under 18),2020,4417,30.652149851,7.663037463,50.349775341,12.587443835,99.582439977,24.895609994,13.485122080,3.371280520,80.329378951,20.082344738,1183,7047,8736,2689,8772631
Colorado,Youth (Under 18),2020,917,40.532194143,10.133048536,73.746075454,18.436518864,101.571748417,25.392937104,19.301044830,4.825261207,79.375546863,19.843886716,240,987,1263,504,1243456
Connecticut,Youth (Under 18),2020,441,36.315796686,9.078949172,60.434967316,15.108741829,91.132093571,22.783023393,13.155911252,3.288977813,74.824245248,18.706061312,96,546,665,265,729710
Delaware,Youth (Under 18),2020,132,37.927160648,9.481790162,63.371964627,15.842991157,87.376496683,21.844124171,19.683716286,4.920929071,70.573324244,17.643331061,41,147,182,79,208294
District of Columbia,Youth (Under 18),2020,44,18.277903604,4.569475901,34.966424286,8.741606071,61.191242500,15.297810625,7.152223149,1.788055787,48.476179123,12.119044781,9,61,77,23,125835
Florida,Youth (Under 18),2020,2141,33.525440167,8.381360042,49.915137272,12.478784318,86.774470307,21.693617577,14.361384661,3.590346165,69.335646076,17.333911519,616,2974,3722,1438,4289280
Georgia,Youth (Under 18),2020,1276,33.751904487,8.437976122,50.548626908,12.637156727,86.400121697,21.600030424,13.429454954,3.357363739,67.305734417,16.826433604,339,1699,2181,852,2524302
Hawaii,Youth (Under 18),2020,137,26.938327655,6.734581914,45.006718156,11.251679539,115.637699204,28.909424801,9.855485728,2.463871432,90.670468694,22.667617174,30,276,352,82,304399
Idaho,Youth (Under 18),2020,269,32.620792877,8.155198219,57.352897281,14.338224320,69.718949483,17.429737371,15.990584744,3.997646186,60.337806433,15.084451608,75,283,327,153,469026
Illinois,Youth (Under 18),2020,1446,29.858477239,7.464619310,51.583462470,12.895865618,89.504085296,22.376021324,13.163414697,3.290853674,74.235951176,18.558987794,369,2081,2509,837,2803224
